Author,Author_id,Comment,Comment_id,Comment_like,Comment_reply,Comment_published,Video_title,Video_id,Comment_count,Video_like,Video_dislike
Christian Trammell,UCqndc3kUJsF_-cdgd8-dzLg,"Why isn't the season 8 available for purchase on YouTube? I don't have television , this is the only way I can watch it. The HBO Go app the only for HBO subscribers.",UgyNDQFupxfrGJlPm4l4AaABAg,0,1,2019-04-24T18:32:28.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Amine Moughanime,UCCRamAKTNBQKPO35hxuQUtg,https://www.youtube.com/watch?v=OAhFcywhH7o,UgyfNeXhVF4boUu-2lZ4AaABAg,0,0,2019-04-24T18:21:22.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
danpetru,UCsr-DAe71QZGf2MNg86Dfjg,who else thinks varys will betray them and try to take the iron throne? i think he still has a role to play,UgxlfI8qlEc5bE-6X_l4AaABAg,3,1,2019-04-24T17:10:19.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Justlooking Onhere,UCfWPGvlaCiF-QE-A1q7MeVQ,R those are 2 dragons at 0:25 flying just above the ship?,UgxEG_-xqa8x0i04Il94AaABAg,0,0,2019-04-24T16:55:33.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Vivek Thakkar,UCz7eiaYJ2Gk6wTRnwbfwcnQ,"1. Jon and Daenerys will die.
2. Their son will become the King.
3. Tyrion will become hand of the king and take care of the king and make all his decisions till he is ready to be King.
4. Jaime will kill Cersei.
5. Sansa will die.
6. Arya will marry Gendry and will become lady of Winterfell.
7.  Bran will sign a peace treaty with Night King and will take his place.",UgxNJ5xcHIl06I6NY1F4AaABAg,1,0,2019-04-24T16:38:30.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Cheikna Diallo,UCIv_8VSDX4u6E8OEknFZRXQ,"😭😭😭😭😭Que le temps passe, bientôt the end of GoT...😭😭😭Si ça t'attriste, pleure avec moi.😭😭😭😭😭😭😭😭",UgxNhUhOytTQxg_ALAZ4AaABAg,1,0,2019-04-24T15:09:14.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Lucas De Jong,UC57pWhKzoyRHGvAemSBmJtA,"I just started watching GoT, it's so good. btw for anyone interested i watched it on watchgotonline org
they did have some anti-takedown verification. takes 1-2 min.",UgzayZ26VmwTIRZYWUx4AaABAg,2,0,2019-04-24T13:05:06.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Aryan Alok,UCR0wgqyOs2f8OrHs1lympeQ,I love you daenery,Ugyz8woZhtEOLslLDjN4AaABAg,0,0,2019-04-24T12:21:50.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Kemal Abi,UCCmxmLa-eR7LAprhO_OY0tA,"Arya rly just pulled the ''I don't wanna die a virgin'' card,works every time",UgwYG2tZJLqM1Xn7PH94AaABAg,1,1,2019-04-24T09:54:58.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Barbe Rousse,UCgiKYG-FlT1BGB4I-05kVVA,"“Everything you did brought you to where you are now, where you belong : home.” 
Is Bran talking to Theon ? Is Theon the real ""old friend"" he was waiting for ?",Ugz-vQxHReMPEBurrqt4AaABAg,1,0,2019-04-24T09:49:52.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
